Candidato;N;Partido;Coligacao;Votos;% Validos;status
ALBERTO MOURAO;4530;PSDB;PPS / DEM / PSDB;104.433;0,49%;eliminado
RENATO AMARY;4533;PSDB;PPS / DEM / PSDB;95.089;0,45%;eliminado
DR ANDRE SACCO;4535;PSDB;PPS / DEM / PSDB;16.634;0,08%;eliminado
SILVIO TORRES;4540;PSDB;PPS / DEM / PSDB;107.035;0,50%;eliminado
TIRSO MEIRELLES;4541;PSDB;PPS / DEM / PSDB;23.524;0,11%;eliminado
TERESA SERRANO;4543;PSDB;PPS / DEM / PSDB;1.518;0,01%;eliminado
EDSON APARECIDO;4545;PSDB;PPS / DEM / PSDB;184.403;0,87%;eleito
RICARDO MONTORO;4546;PSDB;PPS / DEM / PSDB;74.213;0,35%;eliminado
LUIZ FERNANDO MACHADO;4547;PSDB;PPS / DEM / PSDB;129.62;0,61%;eleito
DR. MARCELO;4550;PSDB;PPS / DEM / PSDB;12.137;0,06%;eliminado
VANDERLEI MACRIS;4551;PSDB;PPS / DEM / PSDB;111.531;0,52%;eliminado
DUARTE NOGUEIRA;4554;PSDB;PPS / DEM / PSDB;124.737;0,59%;eleito
JULIO SEMEGHINI;4555;PSDB;PPS / DEM / PSDB;113.333;0,53%;eleito
RAFAEL ABUD;4556;PSDB;PPS / DEM / PSDB;2.36;0,01%;eliminado
GIVALDO VIEIRA;4563;PSDB;PPS / DEM / PSDB;4.86;0,02%;eliminado
TRIPOLI;4565;PSDB;PPS / DEM / PSDB;134.884;0,63%;eleito
FERNANDO FUAD CHUCRE;4566;PSDB;PPS / DEM / PSDB;28.485;0,13%;eliminado
VAZ DE LIMA;4567;PSDB;PPS / DEM / PSDB;170.777;0,80%;eleito
ALEM«O DA SµUDE;4568;PSDB;PPS / DEM / PSDB;4.686;0,02%;eliminado
TI«O;4569;PSDB;PPS / DEM / PSDB;2.162;0,01%;eliminado
WALTER FELDMAN;4570;PSDB;PPS / DEM / PSDB;105.085;0,49%;eliminado
THAME;4577;PSDB;PPS / DEM / PSDB;139.727;0,66%;eleito
ARNALDO MADEIRA;4580;PSDB;PPS / DEM / PSDB;71.777;0,34%;eliminado
BRUNA FURLAN;4585;PSDB;PPS / DEM / PSDB;270.661;1,27%;eleito
JOSê ANIBAL;4586;PSDB;PPS / DEM / PSDB;170.957;0,80%;eleito
NELSON BUGALHO;4588;PSDB;PPS / DEM / PSDB;35.581;0,17%;eliminado
GILBERTO BORJA;4589;PSDB;PPS / DEM / PSDB;13.895;0,07%;eliminado
PROFESSOR CLOVIS PINTO;4590;PSDB;PPS / DEM / PSDB;6.159;0,03%;eliminado
SIRINEU BARBOSA;4599;PSDB;PPS / DEM / PSDB;6.96;0,03%;eliminado
