Candidato;N;Partido;Coligacao;Votos;% Validos;status
RICARDO LEITE;2086;PSC;PSC / PHS;670;0,00%;eliminado
MANOEL GASPAR;2088;PSC;PSC / PHS;34.469;0,16%;eliminado
FLAVIUS;2090;PSC;PSC / PHS;0;0,00%;eliminado
BETO DO MERCADO;2092;PSC;PSC / PHS;0;0,00%;eliminado
KAMEL;2096;PSC;PSC / PHS;167;0,00%;eliminado
OZEAS FELINTO;2097;PSC;PSC / PHS;664;0,00%;eliminado
MAISENA;2098;PSC;PSC / PHS;449;0,00%;eliminado
MOACYR FERNANDES;2099;PSC;PSC / PHS;858;0,00%;eliminado
MUNUERA JUNIOR;4400;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
RUFINO MAXIMO;4401;PRP;PSDC / PRTB / PRP;143;0,00%;eliminado
JORVINA NAVARRO;4402;PRP;PSDC / PRTB / PRP;648;0,00%;eliminado
JOSE CLAUDIO;4407;PRP;PSDC / PRTB / PRP;185;0,00%;eliminado
NATANAEL ARAUJO DE MENEZES;4410;PRP;PSDC / PRTB / PRP;220;0,00%;eliminado
WILSON FOCµSSIO;4411;PRP;PSDC / PRTB / PRP;826;0,00%;eliminado
FRANCISCO GREGORIO;4412;PRP;PSDC / PRTB / PRP;1.734;0,01%;eliminado
DR. SANTOS ABREU;4413;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
ESTER ALBUQUERQUE;4414;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
PRIMO ANTUNES;4419;PRP;PSDC / PRTB / PRP;274;0,00%;eliminado
JOSE EVANGELISTA;4421;PRP;PSDC / PRTB / PRP;2.401;0,01%;eliminado
JORGE CUNHA;4422;PRP;PSDC / PRTB / PRP;531;0,00%;eliminado
IVONIZE DE SOUZA BARRETO;4428;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
Zê CRI;4433;PRP;PSDC / PRTB / PRP;1.539;0,01%;eliminado
JO«O GIL;4434;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
IVAN O TERRIVEL;4440;PRP;PSDC / PRTB / PRP;496;0,00%;eliminado
VANZELLE;4441;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
DR. MARCIO ABBUD;4444;PRP;PSDC / PRTB / PRP;3.629;0,02%;eliminado
JORGE PERES;4445;PRP;PSDC / PRTB / PRP;1.365;0,01%;eliminado
CONDE;4446;PRP;PSDC / PRTB / PRP;79;0,00%;eliminado
ELIETE CORREA;4447;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
FOGUINHO;4450;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
JOSE BRAZ;4451;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
PROFESSOR MUNHOZ;4455;PRP;PSDC / PRTB / PRP;849;0,00%;eliminado
TONIOLO;4456;PRP;PSDC / PRTB / PRP;32.712;0,15%;eliminado
ANDRE LUIZ;4457;PRP;PSDC / PRTB / PRP;280;0,00%;eliminado
LAMBARI;4461;PRP;PSDC / PRTB / PRP;125;0,00%;eliminado
PêPE;4466;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
LUCINDO CIOFFE GOMES;4469;PRP;PSDC / PRTB / PRP;183;0,00%;eliminado
FERNANDO ALVES DA SILVA;4470;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
INACIO JUNQUEIRA;4477;PRP;PSDC / PRTB / PRP;7.729;0,04%;eliminado
FAUSTO AURêLIO BRAGA;4478;PRP;PSDC / PRTB / PRP;118;0,00%;eliminado
VICENTE LEITE;4481;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
ROSALIA SILVA SANTANA;4486;PRP;PSDC / PRTB / PRP;0;0,00%;eliminado
PAULO FERREIRA;4488;PRP;PSDC / PRTB / PRP;370;0,00%;eliminado
TOMBI;4496;PRP;PSDC / PRTB / PRP;148;0,00%;eliminado
WILLYAN JOHNES;4499;PRP;PSDC / PRTB / PRP;198;0,00%;eliminado
EDERALDO;2802;PRTB;PSDC / PRTB / PRP;96;0,00%;eliminado
DR. LE«O III;2803;PRTB;PSDC / PRTB / PRP;68;0,00%;eliminado
PROFESSOR FERNANDO;2808;PRTB;PSDC / PRTB / PRP;677;0,00%;eliminado
GILBERTO AQUINO;2810;PRTB;PSDC / PRTB / PRP;241;0,00%;eliminado
FRANCIA;2813;PRTB;PSDC / PRTB / PRP;847;0,00%;eliminado
DETINHO;2814;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
REIS;2819;PRTB;PSDC / PRTB / PRP;35;0,00%;eliminado
ALDINEA FIDELIX;2828;PRTB;PSDC / PRTB / PRP;163;0,00%;eliminado
LUIZ TAVARES;2829;PRTB;PSDC / PRTB / PRP;134;0,00%;eliminado
SAMUEL SOUZA;2830;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
VALDIR MOREIRA;2833;PRTB;PSDC / PRTB / PRP;319;0,00%;eliminado
IZABEL ABBUD;2838;PRTB;PSDC / PRTB / PRP;60;0,00%;eliminado
EIDY NATASHA;2840;PRTB;PSDC / PRTB / PRP;137;0,00%;eliminado
DEIRA;2844;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
DR¶. CARLA SERRA;2850;PRTB;PSDC / PRTB / PRP;138;0,00%;eliminado
ZE PILLIN;2851;PRTB;PSDC / PRTB / PRP;103;0,00%;eliminado
ROGERIO BATOM;2855;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
ELIZEU;2860;PRTB;PSDC / PRTB / PRP;76;0,00%;eliminado
RACHID;2866;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
KLEBER ARAUJO;2870;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
EZEQUIEL SOUZA;2877;PRTB;PSDC / PRTB / PRP;884;0,00%;eliminado
DR¶. CARLA SILVA;2878;PRTB;PSDC / PRTB / PRP;88;0,00%;eliminado
JOSE CARLOS PEREIRA;2882;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
PROFESSOR MANUEL;2888;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
EVANDRO PIRONDI;2890;PRTB;PSDC / PRTB / PRP;0;0,00%;eliminado
JIMMY MOFFA;2899;PRTB;PSDC / PRTB / PRP;61;0,00%;eliminado
MARCIA MORAES;2700;PSDC;PSDC / PRTB / PRP;297;0,00%;eliminado
EUCLYDES;2701;PSDC;PSDC / PRTB / PRP;0;0,00%;eliminado
VILAS BOAS;2707;PSDC;PSDC / PRTB / PRP;190;0,00%;eliminado
PASTOR CRISTIAN;2712;PSDC;PSDC / PRTB / PRP;919;0,00%;eliminado
MESSIAS;2713;PSDC;PSDC / PRTB / PRP;0;0,00%;eliminado
PROFESSORA LEONICE;2720;PSDC;PSDC / PRTB / PRP;355;0,00%;eliminado
LABATTI;2722;PSDC;PSDC / PRTB / PRP;372;0,00%;eliminado
BEB“;2723;PSDC;PSDC / PRTB / PRP;250;0,00%;eliminado
JOSE CARLOS EYMAEL;2727;PSDC;PSDC / PRTB / PRP;2.563;0,01%;eliminado
ANGELO COIADO;2730;PSDC;PSDC / PRTB / PRP;355;0,00%;eliminado
JOSUE BONFIM;2740;PSDC;PSDC / PRTB / PRP;20;0,00%;eliminado
FARMACEUTICO WAGNER;2766;PSDC;PSDC / PRTB / PRP;837;0,00%;eliminado
AGENOR BISTECA;2768;PSDC;PSDC / PRTB / PRP;0;0,00%;eliminado
CARLOS FERNANDO;2772;PSDC;PSDC / PRTB / PRP;712;0,00%;eliminado
APOSTOLOS GREGO;2775;PSDC;PSDC / PRTB / PRP;374;0,00%;eliminado
LEONARDO;2777;PSDC;PSDC / PRTB / PRP;828;0,00%;eliminado
MACEDO;2781;PSDC;PSDC / PRTB / PRP;244;0,00%;eliminado
PASTOR AMAURI;2789;PSDC;PSDC / PRTB / PRP;1.839;0,01%;eliminado
JONAS DONIZETTE;4000;PSB;PSL / PSB;162.144;0,76%;eleito
MµRCIA LIMA;4001;PSB;PSL / PSB;521;0,00%;eliminado
ROGêRIO EM÷LIO;4003;PSB;PSL / PSB;689;0,00%;eliminado
DENNYS SERRANO;4004;PSB;PSL / PSB;1.758;0,01%;eliminado
EDSON PENNA;4005;PSB;PSL / PSB;485;0,00%;eliminado
MARCELINHO CARIOCA;4007;PSB;PSL / PSB;62.399;0,29%;eliminado
MARCOS DE PAULA;4008;PSB;PSL / PSB;4.775;0,02%;eliminado
GUSTAVO HERRMANN;4009;PSB;PSL / PSB;25.703;0,12%;eliminado
SARGENTO FERNANDO;4010;PSB;PSL / PSB;3.363;0,02%;eliminado
IRM«O JO«O NOGUEIRA;4011;PSB;PSL / PSB;957;0,00%;eliminado
ELISEU GABRIEL;4012;PSB;PSL / PSB;37.564;0,18%;eliminado
CARLOS MARTINS;4013;PSB;PSL / PSB;0;0,00%;eliminado
DR. ANTONIO BUSSOLETTI;4014;PSB;PSL / PSB;979;0,00%;eliminado
RODNEY;4015;PSB;PSL / PSB;554;0,00%;eliminado
AD«O LIMA;4016;PSB;PSL / PSB;4.6;0,02%;eliminado
RENATO KRONKA;4018;PSB;PSL / PSB;268;0,00%;eliminado
VALDIR GONÄALVES;4019;PSB;PSL / PSB;207;0,00%;eliminado
CAPIT«O AUGUSTO;4020;PSB;PSL / PSB;49.216;0,23%;eliminado
LUIZA ERUNDINA;4021;PSB;PSL / PSB;214.114;1,00%;eleito
TIO DO DOCE;4022;PSB;PSL / PSB;872;0,00%;eliminado
CHINELO;4023;PSB;PSL / PSB;20.284;0,10%;eliminado
TORINO;4025;PSB;PSL / PSB;34.08;0,16%;eliminado
IVONE DO CLUBE DE CAMPO;4029;PSB;PSL / PSB;809;0,00%;eliminado
GABRIEL CHALITA;4030;PSB;PSL / PSB;560.022;2,63%;eleito
AMAURY SILVA;4031;PSB;PSL / PSB;0;0,00%;eliminado
PAULO ROGêRIO MARTINS;4033;PSB;PSL / PSB;1.285;0,01%;eliminado
MARIO SHIBATA;4034;PSB;PSL / PSB;484;0,00%;eliminado
JORNALISTA PITTON;4035;PSB;PSL / PSB;1.764;0,01%;eliminado
TATI ESPONTONE;4039;PSB;PSL / PSB;381;0,00%;eliminado
MµRCIO FRANÄA;4040;PSB;PSL / PSB;172.005;0,81%;eleito
CORAUCI;4041;PSB;PSL / PSB;25.802;0,12%;eliminado
ENGENHEIRO CLµUDIO;4042;PSB;PSL / PSB;622;0,00%;eliminado
RUBINHO CAI CAI;4043;PSB;PSL / PSB;3.267;0,02%;eliminado
DR. ALEXANDRE;4044;PSB;PSL / PSB;12.513;0,06%;eliminado
DRA. ROSIANE FARIAS;4045;PSB;PSL / PSB;45.862;0,22%;eliminado
MAGDA ZAMAT;4046;PSB;PSL / PSB;438;0,00%;eliminado
JOSê LEAL;4047;PSB;PSL / PSB;0;0,00%;eliminado
CID«O EVANGELISTA;4048;PSB;PSL / PSB;1.318;0,01%;eliminado
CARMEM FRANCO;4049;PSB;PSL / PSB;384;0,00%;eliminado
TONINHO GARMS;4050;PSB;PSL / PSB;14.924;0,07%;eliminado
VALDIR ALVARENGA;4051;PSB;PSL / PSB;7.71;0,04%;eliminado
WALTER SANDRO;4052;PSB;PSL / PSB;6.879;0,03%;eliminado
SANTO PETRONI;4053;PSB;PSL / PSB;348;0,00%;eliminado
MILTON JOAQUIM SILVA;4054;PSB;PSL / PSB;242;0,00%;eliminado
DRA. ELAINE;4055;PSB;PSL / PSB;55.571;0,26%;eliminado
UNALDO SANTOS;4056;PSB;PSL / PSB;6.415;0,03%;eliminado
CIDA SANTANA;4057;PSB;PSL / PSB;258;0,00%;eliminado
SILENE DE ALMEIDA;4059;PSB;PSL / PSB;296;0,00%;eliminado
VANDIR MOGNON;4060;PSB;PSL / PSB;6.959;0,03%;eliminado
RAMIRO;4061;PSB;PSL / PSB;309;0,00%;eliminado
DA SILVA SANTOS;4062;PSB;PSL / PSB;506;0,00%;eliminado
DR. CL‡VIS;4064;PSB;PSL / PSB;497;0,00%;eliminado
DIRCEU CARDOSO;4066;PSB;PSL / PSB;712;0,00%;eliminado
NILZ«O ART;4069;PSB;PSL / PSB;1.62;0,01%;eliminado
ABELARDO CAMARINHA;4070;PSB;PSL / PSB;71.637;0,34%;eleito
M÷RIAM MARTINS;4071;PSB;PSL / PSB;278;0,00%;eliminado
JEFFERSON CAMPOS;4074;PSB;PSL / PSB;116.317;0,55%;eleito
GRAÄA;4077;PSB;PSL / PSB;24.112;0,11%;eliminado
GETÈLIO DUARTE;4078;PSB;PSL / PSB;1.984;0,01%;eliminado
NEIDE TAMEIR«O;4079;PSB;PSL / PSB;857;0,00%;eliminado
DR. UBIALI;4080;PSB;PSL / PSB;63.255;0,30%;eliminado
PROF. HOMERO GOMES;4081;PSB;PSL / PSB;474;0,00%;eliminado
Zê AMIGUINHO;4083;PSB;PSL / PSB;10.615;0,05%;eliminado
JO«O DE SOUZA;4084;PSB;PSL / PSB;117;0,00%;eliminado
DANILO DE SAÈDE;4085;PSB;PSL / PSB;274;0,00%;eliminado
TIGRE;4087;PSB;PSL / PSB;436;0,00%;eliminado
VICENTE CAPRINO;4090;PSB;PSL / PSB;595;0,00%;eliminado
PROFESSORA INES;4091;PSB;PSL / PSB;138;0,00%;eliminado
OTA;4096;PSB;PSL / PSB;213.024;1,00%;eleito
MIZAEL MORENO;4098;PSB;PSL / PSB;0;0,00%;eliminado
MIGUEL SAMPAIO;4099;PSB;PSL / PSB;19.116;0,09%;eliminado
DANIEL CALDEIRA;1700;PSL;PSL / PSB;5.672;0,03%;eliminado
CASSIO WATANABE;1701;PSL;PSL / PSB;775;0,00%;eliminado
JANETE ARAUJO;1707;PSL;PSL / PSB;156;0,00%;eliminado
CARLINHOS AIMAR;1710;PSL;PSL / PSB;0;0,00%;eliminado
ANTONIO RODRIGUES;1711;PSL;PSL / PSB;0;0,00%;eliminado
WELLINGTON DELFIOL;1712;PSL;PSL / PSB;841;0,00%;eliminado
PROFESSOR MIGUEL;1713;PSL;PSL / PSB;355;0,00%;eliminado
RUDY GATOLIN;1715;PSL;PSL / PSB;209;0,00%;eliminado
DIRCEU DATTI;1717;PSL;PSL / PSB;0;0,00%;eliminado
SARGENTO SEVERO;1718;PSL;PSL / PSB;15.043;0,07%;eliminado
WANDERLEIA MARIM;1719;PSL;PSL / PSB;192;0,00%;eliminado
CAMILA FERNANDA;1721;PSL;PSL / PSB;491;0,00%;eliminado
EDER B2;1722;PSL;PSL / PSB;2.072;0,01%;eliminado
BADYNHO;1724;PSL;PSL / PSB;474;0,00%;eliminado
MARIA ESTELA;1725;PSL;PSL / PSB;30;0,00%;eliminado
PAULO DONATO;1736;PSL;PSL / PSB;652;0,00%;eliminado
MISSIONµRIA NêIA SANCHES;1737;PSL;PSL / PSB;664;0,00%;eliminado
MARIA DO CARMO LE«O;1744;PSL;PSL / PSB;218;0,00%;eliminado
CANTORA LEA DE ARAUJO;1747;PSL;PSL / PSB;739;0,00%;eliminado
PROFESSOR DOUGLAS CARBONNE;1750;PSL;PSL / PSB;259;0,00%;eliminado
SILVIO CANGUEIRO;1751;PSL;PSL / PSB;151;0,00%;eliminado
LINDALVA MARIA;1757;PSL;PSL / PSB;60;0,00%;eliminado
GLEDSON TIGR«O;1766;PSL;PSL / PSB;914;0,00%;eliminado
JOSê EDIVALDO CARDOZO;1767;PSL;PSL / PSB;628;0,00%;eliminado
APOSTOLO LEO;1777;PSL;PSL / PSB;10.781;0,05%;eliminado
EVANGELISTA MACEDO;1780;PSL;PSL / PSB;779;0,00%;eliminado
TATIANA QUEIROZ;1785;PSL;PSL / PSB;105;0,00%;eliminado
PASTOR VALQUIRIO;1786;PSL;PSL / PSB;425;0,00%;eliminado
EMER NOGUEIRA;1787;PSL;PSL / PSB;209;0,00%;eliminado
ROBERTO SIQUEIRA;1789;PSL;PSL / PSB;5.757;0,03%;eliminado
MARIO BERTI;2100;PCB;;0;0,00%;eliminado
VLAD«O;2121;PCB;;0;0,00%;eliminado
ANA CAMPOS;2131;PCB;;0;0,00%;eliminado
CABEÄA BRANCA;2141;PCB;;0;0,00%;eliminado
ODAIR DIAS;2199;PCB;;0;0,00%;eliminado
NATALIA COSTA PIMENTA;2929;PCO;;745;0,00%;eliminado
CLµUDIO VIEIRA;2939;PCO;;0;0,00%;eliminado
PH;1200;PDT;;6.515;0,03%;eliminado
KIM;1202;PDT;;10.99;0,05%;eliminado
SARGENTO DARCY;1203;PDT;;782;0,00%;eliminado
CARLITO VIANA;1206;PDT;;862;0,00%;eliminado
NHA NHA;1207;PDT;;1.065;0,00%;eliminado
DR MARIO;1208;PDT;;424;0,00%;eliminado
ERLON CHAVES;1210;PDT;;6.571;0,03%;eliminado
JO«O DADO;1211;PDT;;70.486;0,33%;eleito
PAULINHO DA FORÄA;1212;PDT;;267.208;1,25%;eleito
ELISEU DANIEL;1213;PDT;;39.241;0,18%;eliminado
BARBOSA;1214;PDT;;2.687;0,01%;eliminado
GUSTAVO STUPP;1215;PDT;;11.455;0,05%;eliminado
ARMANDO HENRIQUE;1217;PDT;;4.844;0,02%;eliminado
MARTAN;1218;PDT;;1.677;0,01%;eliminado
BOAVENTURA;1219;PDT;;2.173;0,01%;eliminado
KAREN HEINS;1220;PDT;;30.898;0,14%;eliminado
PEDRO BAPTISTINI;1222;PDT;;3.875;0,02%;eliminado
SAULO GOES;1225;PDT;;9.288;0,04%;eliminado
MEDEIROS;1230;PDT;;34.904;0,16%;eliminado
GILBERTO BENZI;1231;PDT;;15.647;0,07%;eliminado
EDUARDO NASCIMENTO;1232;PDT;;901;0,00%;eliminado
ANTONIO DIAS;1233;PDT;;0;0,00%;eliminado
DR LUIZ CHIAPARINE;1234;PDT;;37.568;0,18%;eliminado
NELSINHO DA BAHIA;1235;PDT;;2.929;0,01%;eliminado
MANOEL ANTUNES;1236;PDT;;40.238;0,19%;eliminado
DEF.BIODIESEL-SILASEDUARDOINKE;1238;PDT;;633;0,00%;eliminado
PILOTO;1239;PDT;;3.255;0,02%;eliminado
CARLOS HENRIQUE;1242;PDT;;40.031;0,19%;eliminado
MAURICIO SOARES JUNIOR;1244;PDT;;12.766;0,06%;eliminado
DRA DEBORA;1245;PDT;;10.011;0,05%;eliminado
ISMAEL NICACIO;1248;PDT;;230;0,00%;eliminado
SALVADOR ZIMBALDI;1250;PDT;;42.743;0,20%;eleito
DRA BETHY POLACHINI;1251;PDT;;0;0,00%;eliminado
DRA ZIRVA;1253;PDT;;3.024;0,01%;eliminado
LINDOLFO DOS SANTOS;1255;PDT;;17.61;0,08%;eliminado
FERNANDO CHIARELLI;1256;PDT;;28.712;0,13%;eliminado
GILBERTO LOPES;1259;PDT;;288;0,00%;eliminado
OZêAS PEREIRA;1260;PDT;;0;0,00%;eliminado
ITAMAR ALVES;1266;PDT;;8.568;0,04%;eliminado
WILSON COELHO;1269;PDT;;4.335;0,02%;eliminado
INDIO TERENA;1270;PDT;;1.318;0,01%;eliminado
NEI;1277;PDT;;4.248;0,02%;eliminado
JOSUE TOPA TUDO;1278;PDT;;3.38;0,02%;eliminado
SARGENTO ERNALDO;1280;PDT;;5.48;0,03%;eliminado
MAGAIVER;1281;PDT;;4.293;0,02%;eliminado
VALDEVAN NOVENTA;1290;PDT;;25.256;0,12%;eliminado
ACIR FIL‡;1291;PDT;;20.95;0,10%;eliminado
FADUL;1299;PDT;;12.072;0,06%;eliminado
PAULO LIMA;1500;PMDB;;81.483;0,38%;eliminado
CARVALHO SALES;1501;PMDB;;3.947;0,02%;eliminado
VANDERLEI JUELI;1502;PMDB;;1.164;0,01%;eliminado
DR. ALMêRIO;1503;PMDB;;1.268;0,01%;eliminado
CARMELITA TOLEDANO;1504;PMDB;;100;0,00%;eliminado
ANA CRISTINA;1505;PMDB;;2.025;0,01%;eliminado
CELSO GUEDES;1506;PMDB;;164;0,00%;eliminado
NEN“ MONTANHER;1509;PMDB;;7.316;0,03%;eliminado
NEN“ RêSTIO;1510;PMDB;;7.124;0,03%;eliminado
MARCOS TEN‡RIO;1511;PMDB;;5.971;0,03%;eliminado
PAULINHO SOBRAL;1512;PMDB;;3.166;0,01%;eliminado
BONFµ;1513;PMDB;;948;0,00%;eliminado
TONY JUPSSON;1514;PMDB;;2.044;0,01%;eliminado
EDUARDO COELHO;1515;PMDB;;40.302;0,19%;eliminado
PILTON RIOS;1516;PMDB;;2.391;0,01%;eliminado
DIEGO MARTINS;1517;PMDB;;497;0,00%;eliminado
JOSê DE ANCHIETA;1519;PMDB;;291;0,00%;eliminado
CASTANHO;1520;PMDB;;737;0,00%;eliminado
DR. PAULO VALENTIM;1521;PMDB;;7.394;0,03%;eliminado
SINIVAL;1522;PMDB;;1.957;0,01%;eliminado
EDINHO ARAUJO;1523;PMDB;;100.195;0,47%;eleito
Pê VERMELHO;1524;PMDB;;460;0,00%;eliminado
LIMA JUNIOR;1525;PMDB;;1.233;0,01%;eliminado
LAZARO;1528;PMDB;;424;0,00%;eliminado
SERGIO KOBRA;1530;PMDB;;6.098;0,03%;eliminado
DR. AJURICABA;1533;PMDB;;2.567;0,01%;eliminado
DR. JAIR;1535;PMDB;;6.673;0,03%;eliminado
INDIA;1540;PMDB;;462;0,00%;eliminado
BOMFIM;1541;PMDB;;233;0,00%;eliminado
LEONEL NA HORA;1542;PMDB;;943;0,00%;eliminado
ANTONIO MARTINS DA COSTA;1544;PMDB;;238;0,00%;eliminado
ROLEMBERG;1545;PMDB;;869;0,00%;eliminado
CORONEL EX GAMA SANTOS;1547;PMDB;;449;0,00%;eliminado
BOCA NERVOSA;1550;PMDB;;1.342;0,01%;eliminado
REGA;1551;PMDB;;522;0,00%;eliminado
EMIDIO SANTANA;1552;PMDB;;316;0,00%;eliminado
LEONARDO HENRIQUE;1554;PMDB;;204;0,00%;eliminado
LêO OLIVEIRA;1555;PMDB;;87.615;0,41%;eliminado
FRANCISCO ROSSI;1556;PMDB;;0;0,00%;eliminado
CLERISTON VALLE;1557;PMDB;;1.719;0,01%;eliminado
MAIRµ;1558;PMDB;;192;0,00%;eliminado
JOSê RICARDO;1561;PMDB;;372;0,00%;eliminado
JB SILVA;1565;PMDB;;337;0,00%;eliminado
RINALDO;1566;PMDB;;1.313;0,01%;eliminado
JO«O DA FARMµCIA;1567;PMDB;;5.989;0,03%;eliminado
DR. CêSAR;1568;PMDB;;1.252;0,01%;eliminado
MORATO;1569;PMDB;;1.455;0,01%;eliminado
VALDO DOMINGOS;1570;PMDB;;439;0,00%;eliminado
PABLIO REBESSI;1571;PMDB;;1.347;0,01%;eliminado
JUAREZ COSTA SANTOS;1575;PMDB;;115;0,00%;eliminado
GERALD«O;1577;PMDB;;7.891;0,04%;eliminado
RICARDO HOLZ;1578;PMDB;;1.907;0,01%;eliminado
JO«O SARACENI;1580;PMDB;;1.024;0,00%;eliminado
WILSON DIAS;1581;PMDB;;534;0,00%;eliminado
A. TRIUNFO AVELLAR;1583;PMDB;;335;0,00%;eliminado
JOSê CARLOS;1585;PMDB;;505;0,00%;eliminado
PAULINHO DO GUINCHO;1589;PMDB;;626;0,00%;eliminado
EVANDRO MEIRA;1590;PMDB;;698;0,00%;eliminado
CLAUDIO CINQUENT«O;1595;PMDB;;642;0,00%;eliminado
VALêRIA;1598;PMDB;;2.027;0,01%;eliminado
DR. SAMIR NASSBINE;1599;PMDB;;17.21;0,08%;eliminado
CHIQUINHO DO ZAIRA;3300;PMN;;0;0,00%;eliminado
LOURIVAL - NENO;3301;PMN;;616;0,00%;eliminado
BETE MATTOS;3303;PMN;;106;0,00%;eliminado
NEGRAO;3306;PMN;;1.258;0,01%;eliminado
CELIA PERCEVALLI;3309;PMN;;281;0,00%;eliminado
MAURICIO PESSOA;3310;PMN;;473;0,00%;eliminado
MARQUINHO;3311;PMN;;6.53;0,03%;eliminado
DONIZETE DA FARMACIA;3312;PMN;;11.586;0,05%;eliminado
CRIS CABRAL OU CRISTINA CABRAL;3313;PMN;;1.002;0,00%;eliminado
GILMAR XAVIER;3314;PMN;;308;0,00%;eliminado
ANTONIO SEVERINO;3315;PMN;;353;0,00%;eliminado
FERNANDO RIZZOLO;3318;PMN;;187;0,00%;eliminado
JOAO ALCANTARA;3320;PMN;;717;0,00%;eliminado
WILSON;3321;PMN;;1.094;0,01%;eliminado
DR DAVI;3322;PMN;;17.978;0,08%;eliminado
LEO IZIDORO;3323;PMN;;249;0,00%;eliminado
DE FAZIO;3327;PMN;;173;0,00%;eliminado
SANDER MECCA;3328;PMN;;0;0,00%;eliminado
MACHADO;3330;PMN;;131;0,00%;eliminado
MARCELO MADRUGA;3331;PMN;;1.219;0,01%;eliminado
LIBERATO CABOCLO;3332;PMN;;0;0,00%;eliminado
LUCAS ALBANO;3333;PMN;;2.731;0,01%;eliminado
ANA CATTAN;3334;PMN;;332;0,00%;eliminado
DANIEL SAAD;3336;PMN;;113;0,00%;eliminado
CINTRA;3337;PMN;;300;0,00%;eliminado
CLAUDEMIR VIGILANTE;3338;PMN;;410;0,00%;eliminado
PROF VANIA;3340;PMN;;75;0,00%;eliminado
ISMAEL PEREIRA;3343;PMN;;106;0,00%;eliminado
FRANCISCO SOUZA;3344;PMN;;280;0,00%;eliminado
CRISTIANO PEDRO;3345;PMN;;1.194;0,01%;eliminado
JOSE FORYAN;3347;PMN;;205;0,00%;eliminado
IVAN NUNES - CARTEIRO;3351;PMN;;212;0,00%;eliminado
FERNANDO;3355;PMN;;1.462;0,01%;eliminado
LAIR DA APAE;3356;PMN;;12.018;0,06%;eliminado
JOSE SILVA;3361;PMN;;109;0,00%;eliminado
PEDRO VIVIANI;3363;PMN;;918;0,00%;eliminado
DANIEL ROSSI;3366;PMN;;14.291;0,07%;eliminado
O POLITIZADOR DO BRASIL;3367;PMN;;868;0,00%;eliminado
RUY RODRIGUES DE SOUZA;3371;PMN;;523;0,00%;eliminado
PEDRO MANOEL;3373;PMN;;151;0,00%;eliminado
SIDNEY DUTRA;3377;PMN;;23.984;0,11%;eliminado
SAMUEL LUCAS;3379;PMN;;1.507;0,01%;eliminado
JOSE RAIMUNDO;3387;PMN;;0;0,00%;eliminado
MARILU DE PAULA;3389;PMN;;188;0,00%;eliminado
SERGIO ANTONIO;3393;PMN;;178;0,00%;eliminado
JOAO LOURENCO;3398;PMN;;313;0,00%;eliminado
LINDONBERK SILVA;3399;PMN;;3.485;0,02%;eliminado
DURVAL MORELLI;1100;PP;;2.316;0,01%;eliminado
FAUZI HAMUCHE;1101;PP;;0;0,00%;eliminado
JEFERSON CAMILLO;1102;PP;;1.884;0,01%;eliminado
MISSIONµRIA CICERA BEZERRA;1103;PP;;884;0,00%;eliminado
DR JOSê CLAUDIO;1104;PP;;6;0,03%;eliminado
AUREA PARANHOS;1105;PP;;286;0,00%;eliminado
PAULA AGUIAR;1106;PP;;635;0,00%;eliminado
MAURO SIGA BEM;1107;PP;;147;0,00%;eliminado
TCEL JULIO LEMOS;1108;PP;;1.391;0,01%;eliminado
HILTON;1109;PP;;0;0,00%;eliminado
NATAL SOARES;1110;PP;;8.532;0,04%;eliminado
MALUF;1111;PP;;0;0,00%;eliminado
RUBENEUTON OLIVEIRA LIMA;1112;PP;;10.085;0,05%;eliminado
ANGINHO DOS TECLADOS;1113;PP;;1.94;0,01%;eliminado
DR CLERMONT;1114;PP;;0;0,00%;eliminado
CARLOS OCTAVIANI;1115;PP;;52.74;0,25%;eliminado
DRA CELIA MARIA;1116;PP;;952;0,00%;eliminado
IRAPUAN SIQUEIRA;1117;PP;;0;0,00%;eliminado
SANAZAR;1118;PP;;1.653;0,01%;eliminado
CAPIT«O GOMES;1119;PP;;14.172;0,07%;eliminado
LALO;1120;PP;;7.807;0,04%;eliminado
RENATO REICHANN;1121;PP;;753;0,00%;eliminado
BATORê;1122;PP;;23.046;0,11%;eliminado
