JUNJI ABE;2545;DEM;PPS / DEM / PSDB;113156;eleito
ALEXANDRE LEITE;2513;DEM;PPS / DEM / PSDB;112950;eleito
GUILHERME CAMPOS;2590;DEM;PPS / DEM / PSDB;112852;eleito
VANDERLEI MACRIS;4551;PSDB;PPS / DEM / PSDB;111531;eliminado
NEWTON LIMA NETO;1318;PT;PRB / PT / PR / PC do B / PT do B;110207;eleito
DR ELEUSES PAIVA;2588;DEM;PPS / DEM / PSDB;107464;eliminado
SILVIO TORRES;4540;PSDB;PPS / DEM / PSDB;107035;eliminado
WALTER FELDMAN;4570;PSDB;PPS / DEM / PSDB;105085;eliminado
ALBERTO MOURAO;4530;PSDB;PPS / DEM / PSDB;104433;eliminado
WALTER IHOSHI;2599;DEM;PPS / DEM / PSDB;104400;eliminado
CARLOS ROBERTO;4523;PSDB;PPS / DEM / PSDB;103373;eliminado
EDINHO ARAUJO;1523;PMDB;;100195;eleito
MARCELO AGUIAR;2012;PSC;PSC / PHS;98842;eleito
GUILHERME MUSSI;4300;PV;;98702;eleito
PANNUNZIO;4526;PSDB;PPS / DEM / PSDB;96897;eliminado
OTONIEL LIMA;1023;PRB;PRB / PT / PR / PC do B / PT do B;95971;eleito
RENATO AMARY;4533;PSDB;PPS / DEM / PSDB;95089;eliminado
DELEGADO PROTÓGENES;6588;PC DO B;PRB / PT / PR / PC do B / PT do B;94906;eleito
VANDERLEI SIRAQUE;1345;PT;PRB / PT / PR / PC do B / PT do B;93314;eleito
LOBBE NETO;4512;PSDB;PPS / DEM / PSDB;93243;eliminado
GENOINO;1313;PT;PRB / PT / PR / PC do B / PT do B;92362;eliminado
LÉO OLIVEIRA;1555;PMDB;;87615;eliminado
RICARDO IZAR;4363;PV;;87347;eleito
PROFESSOR BENJAMIN;2515;DEM;PPS / DEM / PSDB;85945;eliminado
ARI FRIEDENBACH;2332;PPS;PPS / DEM / PSDB;85281;eliminado
WILLIAM WOO;2321;PPS;PPS / DEM / PSDB;83588;eliminado
PAULO LIMA;1500;PMDB;;81483;eliminado
REGIS DE OLIVEIRA;2020;PSC;PSC / PHS;80172;eliminado
JOSE ONERIO;2333;PPS;PPS / DEM / PSDB;79746;eliminado
ALINE CORREA;1133;PP;;78317;eleito
PENNA;4343;PV;;78301;eleito
JORGINHO MALULY;2511;DEM;PPS / DEM / PSDB;74452;eliminado
RICARDO MONTORO;4546;PSDB;PPS / DEM / PSDB;74213;eliminado
IARA BERNARDI;1310;PT;PRB / PT / PR / PC do B / PT do B;73517;eliminado
ARNALDO MADEIRA;4580;PSDB;PPS / DEM / PSDB;71777;eliminado
ABELARDO CAMARINHA;4070;PSB;PSL / PSB;71637;eleito
ROBERTO DE LUCENA;4344;PV;;70611;eleito
JOÃO DADO;1211;PDT;;70486;eleito
HELCIO SILVA;1315;PT;PRB / PT / PR / PC do B / PT do B;64938;eliminado
RENATO SIMÕES;1366;PT;PRB / PT / PR / PC do B / PT do B;63796;eliminado
DR. UBIALI;4080;PSB;PSL / PSB;63255;eliminado
MARCELINHO CARIOCA;4007;PSB;PSL / PSB;62399;eliminado
DELEGADA GRACIELA;1170;PP;;62225;eliminado
ROBERTO SANTIAGO;4315;PV;;60180;eleito
GUSTAVO PETTA;6510;PC DO B;PRB / PT / PR / PC do B / PT do B;60156;eliminado
DR. SINVAL MALHEIROS;4311;PV;;59209;eleito
VADÃO;1199;PP;;56277;eliminado
MARIA LUCIA PRANDI;1378;PT;PRB / PT / PR / PC do B / PT do B;56108;eliminado
EVANDRO GUSSI;4336;PV;;55700;eliminado
